index,Elevation (ft),Volume (ac-ft),,index,Elevation (ft),Volume (ac-ft)
0,577.51,8646,,0,436,1
1,576,8386,,1,438,3
2,574,8046,,2,440,5
3,572,7711,,3,442,7
4,570,7384,,4,444,10
5,568,7067,,5,446,13
6,566,6762,,6,448,17
7,564,6467,,7,450,21
8,562,6180,,8,452,26
9,560,5902,,9,454,31
10,558,5634,,10,456,37
11,556,5375,,11,458,45
12,554,5125,,12,460,54
13,552,4883,,13,462,65
14,550,4651,,14,464,77
15,548,4428,,15,466,92
16,546,4213,,16,468,113
17,544,4008,,17,470,141
18,542,3810,,18,472,173
19,540,3620,,19,474,210
20,538,3436,,20,476,250
21,536,3259,,21,478,294
22,534,3088,,22,480,341
23,532,2923,,23,482,392
24,530,2764,,24,484,445
25,528,2611,,25,486,501
26,526,2462,,26,488,562
27,524,2319,,27,490,625
28,522,2180,,28,492,692
29,520,2048,,29,494,763
30,518,1920,,30,496,837
31,516,1798,,31,498,915
32,514,1681,,32,500,996
33,512,1570,,33,502,1081
34,510,1462,,34,504,1169
35,508,1360,,35,506,1262
36,506,1262,,36,508,1360
37,504,1169,,37,510,1462
38,502,1081,,38,512,1570
39,500,996,,39,514,1681
40,498,915,,40,516,1798
41,496,837,,41,518,1920
42,494,763,,42,520,2048
43,492,692,,43,522,2180
44,490,625,,44,524,2319
45,488,562,,45,526,2462
46,486,501,,46,528,2611
47,484,445,,47,530,2764
48,482,392,,48,532,2923
49,480,341,,49,534,3088
50,478,294,,50,536,3259
51,476,250,,51,538,3436
52,474,210,,52,540,3620
53,472,173,,53,542,3810
54,470,141,,54,544,4008
55,468,113,,55,546,4213
56,466,92,,56,548,4428
57,464,77,,57,550,4651
58,462,65,,58,552,4883
59,460,54,,59,554,5125
60,458,45,,60,556,5375
61,456,37,,61,558,5634
62,454,31,,62,560,5902
63,452,26,,63,562,6180
64,450,21,,64,564,6467
65,448,17,,65,566,6762
66,446,13,,66,568,7067
67,444,10,,67,570,7384
68,442,7,,68,572,7711
69,440,5,,69,574,8046
70,438,3,,70,576,8386
71,436,1,,71,577.51,8646
