Date,Elevation
1/1/2010,574.10
2/1/2010,577.45
3/1/2010,577.70
4/1/2010,577.40
5/1/2010,576.60
6/1/2010,576.35
7/1/2010,576.00
8/1/2010,575.40
9/1/2010,574.70
10/1/2010,573.50
11/1/2010,572.60
12/1/2010,572.00
1/1/2011,576.40
2/1/2011,577.40
3/1/2011,577.40
4/1/2011,577.55
5/1/2011,577.35
6/1/2011,577.30
7/1/2011,576.95
8/1/2011,576.40
9/1/2011,575.95
10/1/2011,575.50
11/1/2011,575.00
12/1/2011,574.70
1/1/2012,574.50
2/1/2012,575.70
3/1/2012,576.00
4/1/2012,577.30
5/1/2012,577.30
6/1/2012,576.80
7/1/2012,575.95
8/1/2012,575.01
9/1/2012,574.20
10/1/2012,573.45
11/1/2012,572.55
12/1/2012,572.10
1/1/2013,577.45
2/1/2013,577.40
3/1/2013,577.30
4/1/2013,577.30
5/1/2013,576.50
6/1/2013,574.90
7/1/2013,573.50
8/1/2013,571.75
9/1/2013,567.50
10/1/2013,564.00
11/1/2013,560.90
12/1/2013,558.95
1/1/2014,558.30
2/1/2014,557.90
3/1/2014,558.60
4/1/2014,559.60
5/1/2014,559.80
6/1/2014,559.45
7/1/2014,558.80
8/1/2014,557.60
9/1/2014,555.95
10/1/2014,554.70
11/1/2014,553.60
12/1/2014,553.40
